#
#   VizieR Astronomical Server vizier.cfa.harvard.edu
#    Date: 2018-07-22T13:56:42 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ5b548ca019622	
#INFO	-out.max=unlimited	
#INFO	queryParameters=26	
#-oc.form=dec
#-out.max=unlimited
#-out.all=2
#-order=I
#-out.src=J/ApJ/700/331/properties
#-nav=cat:J/ApJ/700/331&tab:{J/ApJ/700/331/properties}&key:source=J/ApJ/700/331/properties&HTTPPRM:&&-ref=VIZ5b548ca019622&-out.max=50&-out.form=HTML Table&-oc.form=sexa&-c.eq=J2000&-c.r=  2&-c.u=arcmin&-c.geom=r&-order=I&-out=SN&-out=zCMB&-out=mB&-out=mV&-out=B-V&-out=U-B&-out=AV&-out=Simbad&-ignore=Simbad=*&Simbad=Simbad&-out=m15B&-out=m15V&-out=Del&-out=Dt(B)&-out=Dt(V)&-out=_RA&-out=_DE&-file=.&-meta.ucd=2&-meta=1&-meta.foot=1&-usenav=1&-bmark=POST&-out.src=J/ApJ/700/331/properties
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=J/ApJ/700/331/properties
#-out=SN
#-out=zCMB
#-out=mB
#-out=mV
#-out=B-V
#-out=U-B
#-out=AV
#-out=Simbad
#-out=m15B
#-out=m15V
#-out=Del
#-out=Dt(B)
#-out=Dt(V)
#-out=_RA
#-out=_DE
#

#RESOURCE=yCat_17000331
#Name: J/ApJ/700/331
#Title: Light curves of type Ia supernovae (CfA3) (Hicken+, 2009)
#Table	J_ApJ_700_331_properties:
#Name: J/ApJ/700/331/properties
#Title: Direct fit and MLCS2K2 (Jha et al. 2007,  Cat. J/ApJ/659/122) light-curve properties
#Column	SN	(A6)	Supernova designation	[ucd=meta.id;meta.main]
#Column	zCMB	(F7.4)	Redshift in the cosmic microwave background (CMB) reference frame	[ucd=src.redshift]
#Column	mU	(F5.2)	? The peak U magnitude (1)	[ucd=phot.mag;em.opt.U]
#Column	e_mU	(F5.2)	? mU uncertainty	[ucd=stat.error]
#Column	mB	(F5.2)	? The peak B magnitude (1)	[ucd=phot.mag;em.opt.B]
#Column	e_mB	(F5.2)	? mB uncertainty	[ucd=stat.error]
#Column	mV	(F5.2)	The peak V magnitude (1)	[ucd=phot.mag;em.opt.V]
#Column	e_mV	(F5.2)	? mV uncertainty	[ucd=stat.error]
#Column	B-V	(F6.3)	? B-V color index (1)	[ucd=phot.color;em.opt.B;em.opt.V]
#Column	e_B-V	(F5.2)	? B-V uncertainty	[ucd=stat.error;phot.color;em.opt.B]
#Column	U-B	(F6.3)	? U-B color index (1)	[ucd=phot.color;em.opt.U;em.opt.B]
#Column	e_U-B	(F5.2)	? U-B uncertainty	[ucd=stat.error;phot.color;em.opt.U]
#Column	AV	(F6.3)	Host-galaxy extinction (2)	[ucd=phys.absorption]
#Column	e_AV	(F6.3)	AV uncertainty	[ucd=stat.error]
#Column	E(B-V)	(F6.3)	B-V host-galaxy color excess (3)	[ucd=phot.color.excess]
#Column	e_E(B-V)	(F7.4)	E(B-V) uncertainty	[ucd=stat.error]
#Column	E(U-B)	(F6.3)	U-B host-galaxy color excess (3)	[ucd=phot.color.excess]
#Column	e_E(U-B)	(F7.4)	E(U-B) uncertainty	[ucd=stat.error]
#Column	Simbad	(a6)	Simbad column added by the CDS	[ucd=]
#Column	m15U	(F5.2)	? Decline rate {Delta}m_15_ in U band (1)	[ucd=src.var.amplitude]
#Column	e_m15U	(F5.2)	? m15U uncertainty	[ucd=stat.error]
#Column	m15B	(F5.2)	? Decline rate {Delta}m_15_ in B band (1)	[ucd=src.var.amplitude]
#Column	e_m15B	(F5.2)	? m15B uncertainty	[ucd=stat.error]
#Column	m15V	(F5.2)	? Decline rate {Delta}m_15_ in V band (1)	[ucd=src.var.amplitude]
#Column	e_m15V	(F5.2)	? m15V uncertainty	[ucd=stat.error]
#Column	Del	(F6.3)	Light-curve shape parameter {Delta} (2)	[ucd=stat.fit.param]
#Column	e_Del	(F6.3)	Delta uncertainty	[ucd=stat.error]
#Column	Dt(U)	(F5.2)	? Time between the closest point before and the closest point after maximum light in U-band	[ucd=time.interval]
#Column	Dt(B)	(F5.2)	? Time between the closest point before and the closest point after maximum light in B-band	[ucd=time.interval]
#Column	Dt(V)	(F5.2)	? Time between the closest point before and the closest point after maximum light in V-band	[ucd=time.interval]
#Column	_RA	(F9.5)	Positions from SIMBAD (right ascension part)	[ucd=pos.eq.ra;meta.main]
#Column	_DE	(F9.5)	Positions from SIMBAD (declination part)	[ucd=pos.eq.dec;meta.main]
SN	zCMB	mU	e_mU	mB	e_mB	mV	e_mV	B-V	e_B-V	U-B	e_U-B	AV	e_AV	E(B-V)	e_E(B-V)	E(U-B)	e_E(U-B)	Simbad	m15U	e_m15U	m15B	e_m15B	m15V	e_m15V	Del	e_Del	Dt(U)	Dt(B)	Dt(V)	_RA	_DE
2001el	 0.0037	12.56	 0.04	12.75	 0.03	12.70	 0.01	 0.030	 0.03	-0.160	 0.05	 0.500	 0.044	 0.294	 0.0259	 0.209	 0.0184	Simbad	 1.55	 0.07	 1.15	 0.07	 0.63	 0.02	-0.115	 0.053	 4.03	 4.02	 1.02	056.12750	-44.63983
2001ep	 0.0129	14.52	 0.04	14.87	 0.04	14.81	 0.03	 0.030	 0.05	-0.310	 0.05	 0.259	 0.054	 0.152	 0.0318	 0.108	 0.0226	Simbad	     	     	     	     	     	     	 0.046	 0.081	 0.84	 3.97	 3.98	074.25108	-04.76117
2001fe	 0.0143	14.02	 0.10	14.68	 0.04	14.65	 0.03	 0.020	 0.05	-0.600	 0.09	 0.099	 0.049	 0.058	 0.0288	 0.041	 0.0204	Simbad	     	     	     	     	     	     	-0.169	 0.067	 6.88	 5.88	 4.03	144.48792	+25.49481
2001fh	 0.0114	13.87	 0.59	14.19	 0.50	14.31	 0.38	-0.150	 0.50	-0.250	 0.59	 0.077	 0.062	 0.045	 0.0365	 0.032	 0.0259	Simbad	     	     	     	     	     	     	 0.632	 0.124	 0.97	 3.01	 2.93	320.17708	+44.39811
2001V 	 0.0162	14.01	 0.09	14.64	 0.08	14.61	 0.05	 0.000	 0.10	-0.600	 0.12	 0.171	 0.041	 0.101	 0.0241	 0.071	 0.0171	Simbad	 1.01	 0.18	 0.65	 0.15	 0.53	 0.13	-0.330	 0.043	 8.70	 7.74	 7.74	179.35387	+25.20250
2002bo	 0.0054	     	     	13.94	 0.08	13.59	 0.07	 0.340	 0.11	      	     	 0.908	 0.050	 0.534	 0.0294	 0.379	 0.0209	Simbad	     	     	     	     	     	     	-0.106	 0.064	     	     	     	154.52712	+21.82825
2002cd	 0.0097	15.57	 0.32	15.53	 0.27	14.93	 0.22	 0.570	 0.28	 0.060	 0.31	 1.026	 0.132	 0.604	 0.0776	 0.428	 0.0551	Simbad	 1.06	 0.33	 0.98	 0.27	     	     	-0.321	 0.056	 3.95	 3.96	     	305.89342	+58.34650
2002cr	 0.0103	     	     	14.16	 0.04	14.23	 0.04	-0.070	 0.05	      	     	 0.122	 0.063	 0.072	 0.0371	 0.051	 0.0263	Simbad	     	     	 1.26	 0.11	 0.66	 0.11	 0.009	 0.083	     	 6.83	 6.82	211.65662	-05.43942
2002cx	 0.0250	     	     	17.54	 0.10	17.34	 0.08	 0.170	 0.13	      	     	 0.703	 0.068	 0.414	 0.0400	 0.294	 0.0284	Simbad	     	     	 1.32	 0.14	 0.79	 0.13	-0.532	 0.058	     	 5.86	 6.87	198.45717	+06.95886
2002de	 0.0281	16.32	 0.06	16.66	 0.03	16.52	 0.02	 0.130	 0.04	-0.310	 0.06	 0.382	 0.084	 0.225	 0.0494	 0.160	 0.0351	Simbad	     	     	     	     	     	     	-0.224	 0.143	 2.00	 2.94	 2.94	244.12658	+35.70839
2002dj	 0.0104	     	     	13.98	 0.07	13.83	 0.06	 0.100	 0.08	      	     	 0.342	 0.078	 0.201	 0.0459	 0.143	 0.0326	Simbad	     	     	     	     	     	     	-0.200	 0.120	     	 1.96	 7.94	198.25142	-19.51908
2002dp	 0.0105	14.16	 0.06	14.60	 0.05	14.47	 0.05	 0.100	 0.07	-0.390	 0.07	 0.268	 0.090	 0.158	 0.0529	 0.112	 0.0376	Simbad	     	     	 1.12	 0.06	     	     	 0.023	 0.135	 1.97	 1.97	 6.86	352.12550	+22.42744
2002er	 0.0085	13.91	 0.13	14.24	 0.11	14.10	 0.09	 0.120	 0.11	-0.330	 0.13	 0.227	 0.074	 0.134	 0.0435	 0.095	 0.0309	Simbad	 1.87	 0.13	 1.28	 0.12	 0.73	 0.10	 0.270	 0.078	 0.99	 1.03	 1.94	257.87450	+07.99578
2002fk	 0.0070	     	     	13.11	 0.05	13.23	 0.04	-0.120	 0.06	      	     	 0.034	 0.023	 0.020	 0.0135	 0.014	 0.0096	Simbad	     	     	     	     	 0.65	 0.10	-0.062	 0.056	     	 6.98	 6.02	050.52379	-15.40089
2002ha	 0.0134	     	     	14.69	 0.08	14.77	 0.07	-0.090	 0.09	      	     	 0.042	 0.032	 0.025	 0.0188	 0.018	 0.0133	Simbad	     	     	 1.34	 0.15	 0.78	 0.15	 0.127	 0.079	     	 8.84	 8.84	311.82742	+00.31267
2002hu	 0.0382	16.08	 0.05	16.58	 0.04	16.70	 0.03	-0.120	 0.05	-0.480	 0.06	 0.036	 0.030	 0.021	 0.0176	 0.015	 0.0125	Simbad	 1.32	 0.09	 1.04	 0.07	 0.53	 0.07	-0.246	 0.055	 3.84	 3.85	 3.84	034.58358	+37.46633
2003W 	 0.0211	15.60	 0.08	15.85	 0.04	15.71	 0.05	 0.120	 0.06	-0.150	 0.08	 0.330	 0.050	 0.194	 0.0294	 0.138	 0.0209	Simbad	 1.35	 0.10	 1.16	 0.04	 0.71	 0.14	-0.071	 0.059	 1.04	 0.94	 8.90	146.70617	+16.04378
2003cg	 0.0053	16.38	 0.05	15.79	 0.05	14.56	 0.02	 1.230	 0.05	 0.660	 0.06	 2.209	 0.053	 1.299	 0.0312	 0.923	 0.0222	Simbad	     	     	     	     	 0.68	 0.05	 0.023	 0.074	 3.08	 5.91	 2.84	153.56654	+03.46736
2003du	 0.0066	13.07	 0.16	13.43	 0.06	13.54	 0.02	-0.120	 0.07	-0.350	 0.19	 0.032	 0.022	 0.019	 0.0129	 0.013	 0.0092	Simbad	     	     	     	     	     	     	-0.168	 0.045	 6.94	 2.86	 2.86	218.64917	+59.33439
2003iv	 0.0335	16.57	 0.15	16.97	 0.09	17.01	 0.08	-0.100	 0.10	-0.370	 0.15	 0.023	 0.024	 0.014	 0.0141	 0.010	 0.0100	Simbad	     	     	     	     	     	     	 0.278	 0.106	     	 1.97	 4.80	042.53021	+12.84625
2003kf	 0.0077	12.93	 0.25	13.28	 0.21	13.25	 0.16	 0.020	 0.21	-0.270	 0.25	 0.114	 0.080	 0.067	 0.0471	 0.048	 0.0334	Simbad	 0.94	 0.28	 0.97	 0.23	 0.70	 0.19	-0.171	 0.055	 9.02	 6.10	 6.11	091.14758	-12.62856
2004as	 0.0321	     	     	16.93	 0.15	16.91	 0.03	 0.010	 0.15	      	     	 0.303	 0.058	 0.178	 0.0341	 0.126	 0.0242	Simbad	     	     	     	     	 0.64	 0.06	-0.184	 0.070	     	     	 2.81	171.41325	+22.83039
2005am	 0.0095	     	     	13.62	 0.04	13.60	 0.03	 0.010	 0.05	-0.270	 0.06	 0.037	 0.033	 0.022	 0.0194	 0.016	 0.0138	Simbad	     	     	 1.73	 0.05	 0.89	 0.05	 0.400	 0.091	     	 1.01	 0.95	139.05196	-16.30444
2005cf	 0.0070	12.84	 0.08	13.24	 0.07	13.28	 0.05	-0.050	 0.07	-0.380	 0.08	 0.208	 0.070	 0.122	 0.0412	 0.087	 0.0293	Simbad	 1.30	 0.09	 1.06	 0.08	 0.61	 0.06	-0.147	 0.081	 3.05	 3.03	 1.00	230.38421	-07.41319
2005el	 0.0148	14.28	 0.10	14.84	 0.08	14.88	 0.06	-0.050	 0.08	-0.530	 0.10	 0.012	 0.013	 0.007	 0.0076	 0.005	 0.0054	Simbad	 1.65	 0.17	 1.23	 0.11	 0.79	 0.10	 0.210	 0.060	 8.84	 4.85	 4.85	077.95300	+05.19428
2005eq	 0.0284	15.77	 0.08	16.28	 0.06	16.25	 0.05	 0.030	 0.07	-0.470	 0.09	 0.104	 0.047	 0.061	 0.0276	 0.044	 0.0196	Simbad	 1.18	 0.13	 0.86	 0.11	 0.49	 0.10	-0.309	 0.045	 5.78	 5.79	 5.78	047.20546	-07.03325
2005eu	 0.0341	     	     	     	     	16.39	 0.08	      	     	      	     	 0.052	 0.038	 0.031	 0.0224	 0.022	 0.0159	Simbad	     	     	     	     	 0.67	 0.15	-0.319	 0.056	     	     	 7.89	036.93042	+28.17717
2005hc	 0.0450	16.93	 0.06	17.31	 0.04	17.41	 0.04	-0.120	 0.06	-0.380	 0.07	 0.115	 0.052	 0.068	 0.0306	 0.048	 0.0217	Simbad	 1.49	 0.15	 0.97	 0.05	 0.53	 0.10	-0.125	 0.075	 1.04	 0.86	 5.69	029.19975	-00.21364
2005hk	 0.0118	15.44	 0.03	15.84	 0.05	15.71	 0.02	 0.040	 0.05	-0.270	 0.06	 0.810	 0.044	 0.476	 0.0259	 0.338	 0.0184	Simbad	 1.72	 0.06	 1.47	 0.14	 0.83	 0.03	-0.310	 0.046	 0.88	 8.87	 0.91	006.96204	-01.19814
2005iq	 0.0330	16.30	 0.19	16.80	 0.07	16.88	 0.03	-0.100	 0.07	-0.480	 0.20	 0.031	 0.026	 0.018	 0.0153	 0.013	 0.0109	Simbad	 1.88	 0.31	 1.05	 0.10	 0.68	 0.04	 0.137	 0.073	 5.84	 4.72	 0.89	359.63542	-18.70917
2005kc	 0.0138	15.49	 0.11	15.58	 0.09	15.38	 0.07	 0.200	 0.14	-0.090	 0.20	 0.624	 0.074	 0.367	 0.0435	 0.261	 0.0309	Simbad	     	     	 1.24	 0.19	 0.66	 0.14	 0.036	 0.082	 2.88	 1.93	 1.93	338.53058	+05.56842
2005ke	 0.0045	15.15	 0.04	14.88	 0.05	14.14	 0.04	 0.660	 0.07	 0.340	 0.06	 0.068	 0.040	 0.040	 0.0235	 0.028	 0.0167	Simbad	 1.77	 0.06	 1.66	 0.14	 1.15	 0.13	 1.551	 0.033	 0.01	 8.86	 7.86	053.76812	-24.94411
2005ki	 0.0208	14.96	 0.12	15.56	 0.07	15.66	 0.02	-0.100	 0.07	-0.550	 0.14	 0.018	 0.015	 0.011	 0.0088	 0.008	 0.0062	Simbad	     	     	     	     	     	     	 0.285	 0.066	 8.80	 8.80	 1.02	160.11758	+09.20233
2005lz	 0.0402	17.33	 0.10	17.55	 0.07	17.59	 0.06	-0.040	 0.08	-0.220	 0.11	 0.173	 0.068	 0.102	 0.0400	 0.072	 0.0284	Simbad	     	     	 1.35	 0.19	 0.59	 0.09	 0.217	 0.103	 3.02	 3.02	 3.02	032.70733	+34.98283
2005mc	 0.0261	17.14	 0.06	17.21	 0.04	17.00	 0.04	 0.170	 0.05	-0.040	 0.06	 0.077	 0.051	 0.045	 0.0300	 0.032	 0.0213	Simbad	 1.96	 0.36	 1.87	 0.11	 1.04	 0.07	 0.935	 0.071	 1.02	 3.92	 3.91	126.77650	+21.64600
2005ms	 0.0259	15.70	 0.04	16.13	 0.03	16.17	 0.03	-0.080	 0.04	-0.430	 0.05	 0.070	 0.040	 0.041	 0.0235	 0.029	 0.0167	Simbad	     	     	 0.79	 0.07	 0.56	 0.04	-0.159	 0.052	 3.90	 3.91	 1.83	132.30975	+36.12997
2005mz	 0.0170	16.32	 0.13	16.37	 0.11	16.06	 0.09	 0.240	 0.11	 0.070	 0.14	 0.266	 0.089	 0.156	 0.0524	 0.111	 0.0372	Simbad	     	     	 1.96	 0.14	 1.33	 0.11	 1.364	 0.067	 1.98	 1.94	 3.97	049.95783	+41.50517
2006ac	 0.0236	15.83	 0.05	16.19	 0.03	16.06	 0.03	 0.110	 0.04	-0.350	 0.06	 0.104	 0.047	 0.061	 0.0276	 0.044	 0.0196	Simbad	 1.46	 0.08	 1.08	 0.07	 0.66	 0.08	 0.161	 0.079	 1.91	 3.86	 4.97	190.43692	+35.06864
2006ar	 0.0229	     	     	16.46	 0.03	16.33	 0.03	 0.110	 0.04	      	     	 0.196	 0.124	 0.115	 0.0729	 0.082	 0.0518	Simbad	     	     	     	     	     	     	 0.428	 0.243	     	 3.93	 2.85	159.37812	+65.01614
2006ax	 0.0180	14.47	 0.05	15.01	 0.04	15.08	 0.03	-0.080	 0.04	-0.500	 0.06	 0.038	 0.029	 0.022	 0.0171	 0.016	 0.0121	Simbad	 1.39	 0.10	 1.08	 0.05	 0.63	 0.05	-0.162	 0.048	 4.93	 1.95	 1.94	171.01442	-12.29144
2006az	 0.0316	15.87	 0.06	16.45	 0.03	16.55	 0.03	-0.130	 0.04	-0.520	 0.06	 0.012	 0.012	 0.007	 0.0071	 0.005	 0.0050	Simbad	 1.52	 0.11	 1.30	 0.06	 0.73	 0.05	 0.154	 0.056	 4.83	 2.08	 1.91	183.06117	+56.17939
2006br	 0.0255	     	     	19.08	 0.07	18.09	 0.04	 0.990	 0.08	      	     	 1.701	 0.102	 1.001	 0.0600	 0.710	 0.0426	Simbad	     	     	 1.47	 0.20	 0.89	 0.08	 0.045	 0.150	     	 0.89	 0.90	202.50750	+13.41578
2006bt	 0.0325	     	     	16.91	 0.04	16.77	 0.03	 0.120	 0.04	      	     	 0.428	 0.053	 0.252	 0.0312	 0.179	 0.0222	Simbad	     	     	 1.09	 0.06	 0.54	 0.04	-0.325	 0.052	     	 1.04	 0.98	239.12721	+20.04600
2006bz	 0.0277	     	     	18.33	 0.08	17.63	 0.03	 0.610	 0.05	      	     	 0.182	 0.115	 0.107	 0.0676	 0.076	 0.0480	Simbad	     	     	 2.09	 0.16	 1.41	 0.06	 1.502	 0.082	     	 0.92	 1.08	195.18075	+27.96161
2006cc	 0.0328	17.60	 0.06	17.81	 0.03	17.45	 0.02	 0.350	 0.04	-0.140	 0.07	 0.812	 0.051	 0.478	 0.0300	 0.339	 0.0213	Simbad	 1.07	 0.15	 1.01	 0.05	 0.72	 0.06	-0.226	 0.058	 3.75	 0.96	 2.81	242.48517	+43.12639
2006cm	 0.0152	     	     	18.05	 0.05	16.96	 0.04	 1.070	 0.06	      	     	 1.829	 0.079	 1.076	 0.0465	 0.764	 0.0330	Simbad	     	     	 0.99	 0.13	 0.79	 0.07	-0.052	 0.087	     	 0.94	 1.97	320.07283	-01.68431
2006cp	 0.0233	     	     	15.89	 0.14	15.87	 0.09	 0.020	 0.05	      	     	 0.440	 0.064	 0.259	 0.0376	 0.184	 0.0267	Simbad	     	     	     	     	     	     	-0.172	 0.087	     	 4.84	 4.84	184.81204	+22.42728
2006D 	 0.0097	13.90	 0.05	14.13	 0.04	14.06	 0.04	 0.050	 0.05	-0.200	 0.06	 0.076	 0.042	 0.045	 0.0247	 0.032	 0.0175	Simbad	 1.85	 0.08	 1.35	 0.07	 0.84	 0.11	 0.423	 0.077	 3.88	 3.88	 6.96	193.14142	-09.77522
2006gj	 0.0277	     	     	17.67	 0.08	17.28	 0.07	 0.340	 0.10	      	     	 0.482	 0.126	 0.284	 0.0741	 0.201	 0.0526	Simbad	     	     	 1.39	 0.17	 0.96	 0.15	 0.582	 0.159	     	 8.71	 8.71	049.39917	-01.69172
2006gr	 0.0335	16.59	 0.09	16.91	 0.07	16.87	 0.05	 0.030	 0.08	-0.280	 0.10	 0.304	 0.052	 0.179	 0.0306	 0.127	 0.0217	Simbad	     	     	 0.95	 0.13	 0.57	 0.08	-0.305	 0.046	 1.85	 6.91	 3.93	338.09446	+30.82869
2006kf	 0.0208	     	     	     	     	15.90	 0.12	      	     	      	     	 0.024	 0.024	 0.014	 0.0141	 0.010	 0.0100	Simbad	     	     	     	     	 0.77	 0.12	 0.628	 0.097	     	     	 0.87	055.46033	+08.15694
2006le	 0.0173	14.26	 0.32	14.78	 0.27	14.85	 0.21	-0.090	 0.27	-0.500	 0.31	 0.076	 0.060	 0.045	 0.0353	 0.032	 0.0251	Simbad	 1.04	 0.33	 0.85	 0.27	 0.59	 0.22	-0.272	 0.044	 2.01	 4.02	 4.03	075.17496	+62.25528
2006lf	 0.0130	     	     	13.70	 0.63	13.88	 0.49	-0.180	 0.63	      	     	 0.095	 0.074	 0.056	 0.0435	 0.040	 0.0309	Simbad	     	     	 1.35	 0.62	 0.71	 0.49	 0.292	 0.079	     	 6.06	 6.06	069.62287	+44.03375
2006mp	 0.0229	     	     	15.96	 0.03	15.93	 0.04	 0.000	 0.04	      	     	 0.166	 0.068	 0.098	 0.0400	 0.069	 0.0284	Simbad	     	     	     	     	     	     	-0.121	 0.058	     	 1.92	 5.87	258.00083	+46.55578
2006N 	 0.0143	     	     	15.08	 0.07	15.09	 0.05	-0.030	 0.07	-0.430	 0.08	 0.027	 0.023	 0.016	 0.0135	 0.011	 0.0096	Simbad	     	     	 1.57	 0.07	 0.90	 0.06	 0.423	 0.070	     	 1.85	 1.85	092.13017	+64.72364
2006nz	 0.0372	     	     	18.11	 0.06	17.73	 0.05	 0.290	 0.08	      	     	 0.094	 0.078	 0.055	 0.0459	 0.039	 0.0326	Simbad	     	     	     	     	 1.18	 0.14	 1.115	 0.118	     	 7.58	 7.57	014.12171	-01.22669
2006oa	 0.0589	17.46	 0.08	17.84	 0.06	17.85	 0.06	-0.020	 0.08	-0.300	 0.10	 0.186	 0.067	 0.109	 0.0394	 0.078	 0.0280	Simbad	     	     	 0.98	 0.18	 0.60	 0.14	-0.252	 0.100	 0.93	 5.67	 3.77	320.92892	-00.84347
2006ob	 0.0582	17.78	 0.08	18.20	 0.05	18.17	 0.04	-0.020	 0.06	-0.210	 0.09	 0.021	 0.021	 0.012	 0.0124	 0.009	 0.0088	Simbad	     	     	 1.70	 0.12	 1.15	 0.11	 0.541	 0.078	 1.03	 1.80	 1.94	027.95046	+00.26342
2006qo	 0.0300	     	     	16.81	 0.04	16.64	 0.04	 0.170	 0.06	      	     	 0.453	 0.063	 0.266	 0.0371	 0.189	 0.0263	Simbad	     	     	 1.02	 0.10	 0.61	 0.10	-0.182	 0.055	     	 5.74	 5.75	120.03487	+56.36881
2006S 	 0.0329	16.34	 0.05	16.79	 0.02	16.75	 0.02	 0.000	 0.03	-0.430	 0.05	 0.268	 0.046	 0.158	 0.0271	 0.112	 0.0192	Simbad	     	     	 0.91	 0.04	 0.60	 0.05	-0.198	 0.053	 2.01	 0.93	 2.82	191.41292	+35.08678
2006sr	 0.0232	     	     	16.14	 0.07	16.11	 0.05	 0.020	 0.07	      	     	 0.085	 0.053	 0.050	 0.0312	 0.036	 0.0222	Simbad	     	     	 1.26	 0.09	 0.72	 0.08	 0.187	 0.086	     	 3.87	 3.88	000.89592	+23.19617
2006td	 0.0150	     	     	15.72	 0.06	15.60	 0.05	 0.110	 0.06	      	     	 0.171	 0.079	 0.101	 0.0465	 0.071	 0.0330	Simbad	     	     	 1.48	 0.12	 0.76	 0.10	 0.390	 0.138	     	 0.99	 0.98	029.56567	+36.34936
2006X 	 0.0063	16.28	 0.07	15.28	 0.04	13.97	 0.02	 1.260	 0.05	 1.000	 0.09	 2.496	 0.043	 1.468	 0.0253	 1.042	 0.0180	Simbad	     	     	 1.10	 0.12	 0.69	 0.03	-0.102	 0.057	     	 7.04	 1.01	185.72450	+15.80886
2007af	 0.0063	     	     	13.13	 0.03	13.10	 0.02	 0.020	 0.03	      	     	 0.215	 0.054	 0.126	 0.0318	 0.090	 0.0226	Simbad	     	     	 1.20	 0.05	 0.65	 0.03	-0.040	 0.052	     	 2.04	 0.94	215.58762	-00.39378
2007au	 0.0202	     	     	16.46	 0.06	16.32	 0.07	 0.120	 0.09	      	     	 0.049	 0.039	 0.029	 0.0229	 0.020	 0.0163	Simbad	     	     	 1.95	 0.11	 0.94	 0.08	 1.084	 0.058	     	 5.88	 0.97	107.94212	+49.85372
2007bc	 0.0219	     	     	15.82	 0.04	15.92	 0.03	-0.110	 0.05	      	     	 0.084	 0.059	 0.049	 0.0347	 0.035	 0.0246	Simbad	     	     	 1.35	 0.07	 0.67	 0.04	 0.285	 0.090	     	 2.92	 0.91	169.81071	+20.80903
2007bd	 0.0320	     	     	16.53	 0.03	16.58	 0.03	-0.060	 0.04	      	     	 0.043	 0.033	 0.025	 0.0194	 0.018	 0.0138	Simbad	     	     	     	     	     	     	 0.290	 0.097	     	 3.93	 3.93	127.88867	-01.19944
2007ca	 0.0152	     	     	15.95	 0.05	15.65	 0.04	 0.290	 0.05	      	     	 0.580	 0.069	 0.341	 0.0406	 0.242	 0.0288	Simbad	     	     	     	     	     	     	-0.214	 0.057	     	 2.92	 2.93	202.77421	-15.10183
2007ci	 0.0191	     	     	     	     	15.86	 0.02	      	     	      	     	 0.074	 0.063	 0.044	 0.0371	 0.031	 0.0263	Simbad	     	     	     	     	 0.86	 0.03	 0.883	 0.078	     	     	 0.99	176.44104	+19.77053
2007co	 0.0266	16.39	 0.10	16.43	 0.08	16.38	 0.06	 0.030	 0.08	-0.020	 0.10	 0.392	 0.069	 0.231	 0.0406	 0.164	 0.0288	Simbad	 1.28	 0.22	 1.14	 0.09	 0.70	 0.07	-0.041	 0.078	 2.69	 1.16	 1.01	275.76500	+29.89711
2007cq	 0.0247	     	     	15.82	 0.07	15.79	 0.06	 0.010	 0.08	      	     	 0.109	 0.059	 0.064	 0.0347	 0.046	 0.0246	Simbad	     	     	 1.17	 0.18	 0.61	 0.07	 0.052	 0.071	     	 0.85	 2.00	333.66846	+05.08025
2007F 	 0.0242	     	     	15.87	 0.03	15.91	 0.02	-0.040	 0.04	      	     	 0.047	 0.038	 0.028	 0.0224	 0.020	 0.0159	Simbad	     	     	 0.93	 0.07	 0.58	 0.06	-0.140	 0.051	     	 3.84	 3.84	195.81283	+50.61881
2007qe	 0.0244	     	     	16.01	 0.04	15.99	 0.03	-0.010	 0.05	      	     	 0.148	 0.059	 0.087	 0.0347	 0.062	 0.0246	Simbad	     	     	 0.98	 0.05	 0.59	 0.06	-0.257	 0.049	     	 1.93	 2.94	358.55408	+27.40928
2007S 	 0.0137	     	     	15.82	 0.03	15.40	 0.03	 0.390	 0.04	      	     	 0.833	 0.054	 0.490	 0.0318	 0.348	 0.0226	Simbad	     	     	 0.88	 0.08	 0.62	 0.08	-0.323	 0.040	     	 4.83	 4.83	150.13025	+04.40728
2008bf	 0.0253	15.29	 0.08	15.72	 0.04	15.68	 0.04	 0.040	 0.05	-0.400	 0.09	 0.102	 0.049	 0.060	 0.0288	 0.043	 0.0204	Simbad	     	     	 1.01	 0.09	 0.59	 0.08	-0.179	 0.064	 2.06	 4.91	 4.92	181.01208	+20.24517

